2025/08/15 09:17:37.309, 37.01 W, 59, 0 %, 0 %
2025/08/15 09:17:38.314, 36.99 W, 59, 0 %, 0 %
2025/08/15 09:17:39.317, 36.76 W, 59, 4 %, 0 %
2025/08/15 09:17:40.321, 36.76 W, 58, 0 %, 0 %
2025/08/15 09:17:41.328, 36.76 W, 58, 0 %, 0 %
2025/08/15 09:17:42.331, 36.76 W, 58, 0 %, 0 %
2025/08/15 09:17:43.335, 97.57 W, 60, 56 %, 14 %
2025/08/15 09:17:44.339, 93.30 W, 60, 56 %, 14 %
2025/08/15 09:17:45.343, 84.99 W, 60, 56 %, 14 %
2025/08/15 09:17:46.349, 77.07 W, 60, 51 %, 13 %
2025/08/15 09:17:47.352, 92.11 W, 60, 54 %, 14 %
2025/08/15 09:17:48.357, 92.57 W, 60, 56 %, 14 %
2025/08/15 09:17:49.361, 98.26 W, 60, 56 %, 14 %
2025/08/15 09:17:50.365, 83.17 W, 61, 56 %, 14 %
2025/08/15 09:17:51.370, 88.41 W, 61, 56 %, 14 %
2025/08/15 09:17:52.374, 85.98 W, 61, 55 %, 14 %
2025/08/15 09:17:53.379, 85.70 W, 61, 54 %, 14 %
2025/08/15 09:17:54.383, 89.37 W, 61, 54 %, 14 %
2025/08/15 09:17:55.388, 95.59 W, 60, 54 %, 14 %
2025/08/15 09:17:56.392, 74.10 W, 59, 0 %, 0 %
2025/08/15 09:17:57.396, 69.16 W, 59, 30 %, 9 %
2025/08/15 09:17:58.401, 83.76 W, 60, 54 %, 14 %
2025/08/15 09:17:59.405, 87.18 W, 60, 52 %, 13 %
2025/08/15 09:18:00.410, 98.25 W, 61, 56 %, 14 %
2025/08/15 09:18:01.413, 93.36 W, 61, 56 %, 14 %
2025/08/15 09:18:02.417, 91.67 W, 61, 57 %, 14 %
2025/08/15 09:18:03.421, 89.11 W, 61, 57 %, 14 %
2025/08/15 09:18:04.425, 98.02 W, 61, 56 %, 14 %
2025/08/15 09:18:05.432, 101.48 W, 61, 57 %, 14 %
2025/08/15 09:18:06.437, 87.47 W, 61, 56 %, 14 %
2025/08/15 09:18:07.441, 98.93 W, 61, 55 %, 14 %
2025/08/15 09:18:08.445, 93.28 W, 61, 55 %, 14 %
2025/08/15 09:18:09.450, 95.84 W, 61, 56 %, 14 %
2025/08/15 09:18:10.454, 75.54 W, 61, 38 %, 9 %
2025/08/15 09:18:11.459, 95.94 W, 61, 25 %, 7 %
2025/08/15 09:18:12.463, 88.96 W, 61, 57 %, 15 %
2025/08/15 09:18:13.468, 98.71 W, 61, 56 %, 14 %
2025/08/15 09:18:14.473, 84.49 W, 61, 57 %, 14 %
2025/08/15 09:18:15.477, 90.15 W, 61, 56 %, 14 %
2025/08/15 09:18:16.481, 86.69 W, 61, 58 %, 15 %
2025/08/15 09:18:17.487, 95.59 W, 61, 57 %, 14 %
2025/08/15 09:18:18.490, 84.71 W, 61, 52 %, 13 %
2025/08/15 09:18:19.495, 82.94 W, 61, 55 %, 14 %
2025/08/15 09:18:20.499, 91.87 W, 61, 56 %, 14 %
2025/08/15 09:18:21.504, 82.97 W, 61, 57 %, 14 %
2025/08/15 09:18:22.507, 89.64 W, 61, 56 %, 14 %
2025/08/15 09:18:23.511, 87.88 W, 61, 57 %, 14 %
2025/08/15 09:18:24.516, 82.23 W, 61, 41 %, 12 %
2025/08/15 09:18:25.521, 91.68 W, 61, 56 %, 14 %
2025/08/15 09:18:26.525, 94.79 W, 61, 55 %, 14 %
2025/08/15 09:18:27.530, 82.52 W, 61, 56 %, 14 %
2025/08/15 09:18:28.536, 90.40 W, 61, 56 %, 14 %
2025/08/15 09:18:29.540, 97.82 W, 61, 56 %, 14 %
2025/08/15 09:18:30.544, 93.56 W, 61, 55 %, 14 %
2025/08/15 09:18:31.549, 96.23 W, 61, 54 %, 14 %
2025/08/15 09:18:32.554, 96.97 W, 61, 56 %, 14 %
