,Model,CNN,LSTM,GRU,DNN,CNN-LSTM,CNN-GRU,CNN-DNN,,,,,,,,,,,,,,,,,,
,Model 1 layer,0.9918,0.9962,0.9967,0.9951,0.9964,0.9964,0.9967,,,,,,,,,,,,,,,,,,
,Model 2 layer,0.9959,0.9965,0.9965,0.9951,0.9964,0.9965,0.9964,,,,,,,,,,,,,,,,,,
,Model 3 layer,0.9963,0.9965,0.9964,0.9944,0.9964,0.9964,0.9965,,,,,,,,,,,,,,,,,,
,Model 4 layer,0.9964,0.996,0.9959,0.986,0.9964,0.9964,0.9962,,,,,,,,,,,,,,,,,,
,Model 5 layer,0.9964,0.9963,0.996,0.9879,0.9964,0.9964,0.996,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
cse,Model,CNN,LSTM,GRU,DNN,CNN-LSTM,CNN-DNN,,,,,,,,,,,,,,,,,,,
,Model 1 layer,0.9935,0.9963,0.9967,0.9959,0.9962,0.996,,,,,,,,,,,,,,,,,,,
,Model 2 layer,0.9951,0.9963,0.9961,0.9959,0.9964,0.9965,,,,,,,,,,,,,,,,,,,
,Model 3 layer,0.9959,0.9962,0.9961,0.9956,0.9963,0.9959,,,,,,,,,,,,,,,,,,,
,Model 4 layer,0.9961,0.9963,0.9962,0.9945,0.9964,0.9952,,,,,,,,,,,,,,,,,,,
,Model 5 layer,0.9962,0.9961,0.996,0.9936,0.9964,0.9957,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model,Train Time,Inference Time,Train Time,Inference Time,Train Time,Inference Time,Train Time,Inference Time,Train Time,Inference Time,,,,,Model,1 Layer,,2 layer,,3 Layer,,4 Layer,,5 Layer,
,CNN,590.79,9.2,681,9.11,665.11,8.99,588.89,8.56,604.14,8.31,,,,,,Train Time (s),Accuracy,Train Time (s),Accuracy,Train Time (s),Accuracy,Train Time (s),Accuracy,Train Time (s),Accuracy
,LSTM,2365.29,12,2693.1,16.47,2969.86,20.24,3518.03,23.83,3864.42,27.68,,,,,CNN,590.79,9.2,681,9.11,665.11,8.99,588.89,8.56,604.14,8.31
,GRU,2156.16,10.55,2640.77,15.61,3190.54,19.13,3823.39,21.96,4390.5,24.94,,,,,LSTM,2365.29,12,2693.1,16.47,2969.86,20.24,3518.03,23.83,3864.42,27.68
,DNN,355.86,8.01,375.86,7.47,390.64,8.48,391.14,7.64,442.34,8.65,,,,,GRU,2156.16,10.55,2640.77,15.61,3190.54,19.13,3823.39,21.96,4390.5,24.94
,CNN-LSTM,1228.44,11.09,1364.27,13.7,1535.15,15.58,1687.36,16.8,1885.58,18.89,,,,,DNN,355.86,8.01,375.86,7.47,390.64,8.48,391.14,7.64,442.34,8.65
,CNN-DNN,470.5,7.36,473.66,7.47,485.12,7.55,499.21,7.6,500.36,7.79,,,,,CNN-LSTM,1228.44,11.09,1364.27,13.7,1535.15,15.58,1687.36,16.8,1885.58,18.89
,,,,,,,,,,,,,,,,CNN-DNN,470.5,7.36,473.66,7.47,485.12,7.55,499.21,7.6,500.36,7.79
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Train_Time_s,Model,CNN,LSTM,GRU,DNN,CNN-LSTM,CNN-DNN,,,,,,,,,,,,,,,,,,,
,Model 1 layer,590.79,2365.29,2156.16,355.86,1228.44,470.5,,,,,,,,,,,,,,,,,,,
,Model 2 layer,681,2693.1,2640.77,375.86,1364.27,473.66,,,,,,,,,,,,,,,,,,,
,Model 3 layer,665.11,3190.54,2969.86,390.64,1535.15,485.12,,,,,,,,,,,,,,,,,,,
,Model 4 layer,588.89,3823.39,3518.03,391.14,1687.36,499.21,,,,,,,,,,,,,,,,,,,
,Model 5 layer,604.14,4390.5,3864.42,442.34,1885.58,500.36,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
