2025/08/16 03:07:59.986, 34.66 W, 42, 0 %, 0 %
2025/08/16 03:08:00.990, 34.66 W, 42, 0 %, 0 %
2025/08/16 03:08:01.994, 34.66 W, 42, 0 %, 0 %
2025/08/16 03:08:02.999, 34.66 W, 42, 0 %, 0 %
2025/08/16 03:08:04.006, 34.66 W, 42, 0 %, 0 %
2025/08/16 03:08:05.011, 67.72 W, 43, 48 %, 9 %
2025/08/16 03:08:06.014, 68.95 W, 43, 48 %, 9 %
2025/08/16 03:08:07.017, 40.60 W, 43, 0 %, 0 %
2025/08/16 03:08:08.023, 70.15 W, 43, 47 %, 9 %
2025/08/16 03:08:09.027, 64.25 W, 43, 42 %, 8 %
2025/08/16 03:08:10.031, 65.24 W, 44, 43 %, 8 %
2025/08/16 03:08:11.036, 62.81 W, 44, 43 %, 9 %
2025/08/16 03:08:12.040, 69.65 W, 44, 46 %, 9 %
2025/08/16 03:08:13.044, 69.73 W, 44, 47 %, 9 %
2025/08/16 03:08:14.049, 67.68 W, 44, 46 %, 9 %
2025/08/16 03:08:15.053, 64.96 W, 44, 46 %, 9 %
2025/08/16 03:08:16.058, 58.13 W, 44, 32 %, 6 %
2025/08/16 03:08:17.062, 68.95 W, 44, 46 %, 9 %
2025/08/16 03:08:18.065, 68.00 W, 45, 46 %, 9 %
2025/08/16 03:08:19.068, 60.34 W, 44, 23 %, 5 %
2025/08/16 03:08:20.072, 66.51 W, 45, 45 %, 9 %
2025/08/16 03:08:21.075, 67.96 W, 45, 41 %, 8 %
2025/08/16 03:08:22.078, 41.83 W, 45, 25 %, 6 %
2025/08/16 03:08:23.081, 68.21 W, 45, 46 %, 9 %
2025/08/16 03:08:24.085, 71.67 W, 45, 45 %, 9 %
2025/08/16 03:08:25.090, 70.68 W, 45, 21 %, 5 %
2025/08/16 03:08:26.093, 72.65 W, 45, 46 %, 9 %
2025/08/16 03:08:27.097, 70.68 W, 45, 47 %, 9 %
2025/08/16 03:08:28.101, 70.68 W, 45, 44 %, 9 %
2025/08/16 03:08:29.104, 67.24 W, 45, 46 %, 9 %
2025/08/16 03:08:30.107, 66.47 W, 46, 46 %, 9 %
2025/08/16 03:08:31.112, 69.65 W, 46, 40 %, 8 %
2025/08/16 03:08:32.115, 71.17 W, 46, 47 %, 9 %
2025/08/16 03:08:33.119, 68.48 W, 46, 46 %, 9 %
2025/08/16 03:08:34.123, 65.98 W, 46, 47 %, 9 %
2025/08/16 03:08:35.126, 70.18 W, 46, 47 %, 9 %
2025/08/16 03:08:36.131, 73.36 W, 46, 47 %, 9 %
2025/08/16 03:08:37.135, 70.92 W, 46, 47 %, 9 %
2025/08/16 03:08:38.138, 71.42 W, 46, 47 %, 9 %
2025/08/16 03:08:39.142, 59.06 W, 46, 35 %, 7 %
2025/08/16 03:08:40.146, 66.23 W, 46, 42 %, 8 %
2025/08/16 03:08:41.153, 72.45 W, 46, 35 %, 7 %
2025/08/16 03:08:42.157, 58.07 W, 46, 36 %, 7 %
2025/08/16 03:08:43.162, 70.95 W, 47, 47 %, 9 %
2025/08/16 03:08:44.166, 72.90 W, 47, 47 %, 9 %
2025/08/16 03:08:45.169, 46.76 W, 46, 27 %, 6 %
2025/08/16 03:08:46.176, 71.14 W, 47, 47 %, 9 %
2025/08/16 03:08:47.180, 65.98 W, 47, 47 %, 9 %
2025/08/16 03:08:48.183, 68.69 W, 47, 27 %, 6 %
2025/08/16 03:08:49.187, 69.65 W, 47, 47 %, 9 %
2025/08/16 03:08:50.190, 72.65 W, 47, 47 %, 9 %
2025/08/16 03:08:51.194, 71.71 W, 47, 41 %, 8 %
2025/08/16 03:08:52.199, 68.21 W, 47, 47 %, 9 %
2025/08/16 03:08:53.203, 69.93 W, 47, 47 %, 9 %
2025/08/16 03:08:54.208, 70.92 W, 47, 47 %, 9 %
2025/08/16 03:08:55.212, 69.15 W, 47, 46 %, 9 %
2025/08/16 03:08:56.215, 65.70 W, 48, 47 %, 9 %
2025/08/16 03:08:57.218, 71.17 W, 48, 47 %, 9 %
2025/08/16 03:08:58.222, 69.69 W, 48, 47 %, 9 %
2025/08/16 03:08:59.225, 57.39 W, 47, 48 %, 9 %
2025/08/16 03:09:00.231, 69.44 W, 48, 47 %, 9 %
2025/08/16 03:09:01.235, 72.40 W, 48, 44 %, 8 %
2025/08/16 03:09:02.239, 58.88 W, 48, 27 %, 6 %
2025/08/16 03:09:03.244, 69.69 W, 48, 47 %, 9 %
2025/08/16 03:09:04.247, 70.43 W, 48, 47 %, 9 %
2025/08/16 03:09:05.251, 68.41 W, 48, 20 %, 5 %
2025/08/16 03:09:06.255, 73.39 W, 48, 46 %, 9 %
2025/08/16 03:09:07.262, 70.39 W, 48, 46 %, 9 %
2025/08/16 03:09:08.265, 71.41 W, 48, 43 %, 8 %
2025/08/16 03:09:09.269, 71.14 W, 48, 47 %, 9 %
2025/08/16 03:09:10.273, 73.89 W, 48, 47 %, 9 %
2025/08/16 03:09:11.276, 73.10 W, 48, 46 %, 9 %
2025/08/16 03:09:12.281, 63.58 W, 48, 43 %, 8 %
2025/08/16 03:09:13.285, 66.97 W, 48, 42 %, 8 %
2025/08/16 03:09:14.288, 67.21 W, 48, 47 %, 9 %
2025/08/16 03:09:15.293, 72.90 W, 48, 47 %, 9 %
2025/08/16 03:09:16.298, 71.17 W, 48, 46 %, 9 %
2025/08/16 03:09:17.301, 70.68 W, 48, 46 %, 9 %
2025/08/16 03:09:18.305, 72.65 W, 49, 47 %, 9 %
2025/08/16 03:09:19.309, 71.17 W, 49, 46 %, 9 %
2025/08/16 03:09:20.312, 68.49 W, 49, 46 %, 9 %
2025/08/16 03:09:21.316, 71.91 W, 49, 46 %, 9 %
2025/08/16 03:09:22.320, 59.10 W, 49, 43 %, 8 %
2025/08/16 03:09:23.325, 69.73 W, 49, 47 %, 9 %
2025/08/16 03:09:24.329, 69.19 W, 49, 48 %, 9 %
2025/08/16 03:09:25.333, 65.73 W, 49, 27 %, 7 %
2025/08/16 03:09:26.338, 72.41 W, 49, 47 %, 9 %
2025/08/16 03:09:27.342, 69.89 W, 49, 48 %, 9 %
2025/08/16 03:09:28.348, 69.69 W, 49, 34 %, 7 %
2025/08/16 03:09:29.352, 72.37 W, 49, 48 %, 9 %
2025/08/16 03:09:30.357, 70.68 W, 49, 47 %, 9 %
2025/08/16 03:09:31.361, 71.71 W, 49, 47 %, 9 %
2025/08/16 03:09:32.367, 70.14 W, 49, 46 %, 9 %
2025/08/16 03:09:33.372, 71.38 W, 49, 47 %, 9 %
2025/08/16 03:09:34.375, 71.62 W, 49, 47 %, 9 %
2025/08/16 03:09:35.378, 68.67 W, 49, 47 %, 9 %
2025/08/16 03:09:36.386, 47.01 W, 50, 47 %, 9 %
2025/08/16 03:09:37.391, 68.00 W, 49, 47 %, 9 %
2025/08/16 03:09:38.395, 70.89 W, 50, 46 %, 9 %
2025/08/16 03:09:39.398, 59.84 W, 49, 33 %, 7 %
2025/08/16 03:09:40.402, 66.47 W, 49, 47 %, 9 %
2025/08/16 03:09:41.408, 73.11 W, 50, 46 %, 9 %
2025/08/16 03:09:42.412, 64.99 W, 49, 27 %, 6 %
2025/08/16 03:09:43.416, 69.90 W, 50, 48 %, 9 %
2025/08/16 03:09:44.419, 64.00 W, 50, 42 %, 8 %
2025/08/16 03:09:45.426, 67.96 W, 49, 25 %, 6 %
2025/08/16 03:09:46.430, 73.31 W, 50, 47 %, 9 %
2025/08/16 03:09:47.434, 69.93 W, 50, 48 %, 9 %
2025/08/16 03:09:48.437, 70.92 W, 50, 26 %, 6 %
2025/08/16 03:09:49.444, 70.43 W, 50, 47 %, 9 %
2025/08/16 03:09:50.447, 71.67 W, 50, 48 %, 9 %
2025/08/16 03:09:51.451, 72.12 W, 50, 47 %, 9 %
2025/08/16 03:09:52.456, 75.37 W, 50, 46 %, 9 %
2025/08/16 03:09:53.459, 68.21 W, 50, 48 %, 9 %
2025/08/16 03:09:54.463, 69.93 W, 50, 47 %, 9 %
2025/08/16 03:09:55.471, 73.39 W, 50, 46 %, 9 %
2025/08/16 03:09:56.474, 74.41 W, 50, 47 %, 9 %
2025/08/16 03:09:57.478, 71.84 W, 50, 46 %, 9 %
2025/08/16 03:09:58.482, 70.00 W, 50, 47 %, 9 %
2025/08/16 03:09:59.485, 59.84 W, 50, 47 %, 9 %
2025/08/16 03:10:00.492, 74.83 W, 50, 48 %, 9 %
2025/08/16 03:10:01.496, 68.70 W, 50, 47 %, 9 %
2025/08/16 03:10:02.500, 59.34 W, 50, 30 %, 6 %
2025/08/16 03:10:03.504, 73.35 W, 50, 47 %, 9 %
