2025/08/16 02:43:13.233, 35.42 W, 44, 0 %, 0 %
2025/08/16 02:43:14.237, 35.67 W, 44, 0 %, 0 %
2025/08/16 02:43:15.240, 35.42 W, 44, 0 %, 0 %
2025/08/16 02:43:16.243, 40.11 W, 45, 2 %, 0 %
2025/08/16 02:43:17.248, 57.12 W, 45, 30 %, 8 %
2025/08/16 02:43:18.255, 63.06 W, 45, 39 %, 11 %
2025/08/16 02:43:19.258, 40.62 W, 45, 0 %, 0 %
2025/08/16 02:43:20.262, 40.38 W, 45, 0 %, 0 %
2025/08/16 02:43:21.265, 65.50 W, 45, 16 %, 4 %
2025/08/16 02:43:22.271, 66.27 W, 46, 39 %, 11 %
2025/08/16 02:43:23.275, 65.99 W, 46, 39 %, 11 %
2025/08/16 02:43:24.278, 51.71 W, 46, 39 %, 11 %
2025/08/16 02:43:25.281, 63.76 W, 46, 39 %, 11 %
2025/08/16 02:43:26.286, 63.30 W, 46, 24 %, 6 %
2025/08/16 02:43:27.290, 65.78 W, 46, 38 %, 11 %
2025/08/16 02:43:28.294, 66.02 W, 46, 38 %, 11 %
2025/08/16 02:43:29.297, 44.56 W, 46, 36 %, 10 %
2025/08/16 02:43:30.301, 62.56 W, 46, 38 %, 11 %
2025/08/16 02:43:31.305, 65.75 W, 46, 28 %, 8 %
2025/08/16 02:43:32.308, 66.27 W, 46, 38 %, 11 %
2025/08/16 02:43:33.311, 66.27 W, 46, 38 %, 11 %
2025/08/16 02:43:34.316, 46.05 W, 46, 34 %, 9 %
2025/08/16 02:43:35.322, 65.53 W, 46, 39 %, 11 %
2025/08/16 02:43:36.327, 66.27 W, 47, 33 %, 9 %
2025/08/16 02:43:37.330, 64.29 W, 47, 38 %, 10 %
2025/08/16 02:43:38.334, 64.05 W, 47, 39 %, 11 %
2025/08/16 02:43:39.340, 46.54 W, 47, 33 %, 9 %
2025/08/16 02:43:40.344, 65.28 W, 47, 39 %, 11 %
2025/08/16 02:43:41.348, 60.62 W, 47, 25 %, 7 %
2025/08/16 02:43:42.351, 66.02 W, 47, 38 %, 11 %
2025/08/16 02:43:43.354, 66.52 W, 47, 38 %, 10 %
2025/08/16 02:43:44.359, 44.81 W, 47, 39 %, 11 %
2025/08/16 02:43:45.362, 66.02 W, 47, 39 %, 11 %
2025/08/16 02:43:46.366, 65.04 W, 47, 30 %, 8 %
2025/08/16 02:43:47.369, 63.80 W, 47, 39 %, 11 %
2025/08/16 02:43:48.373, 64.79 W, 47, 39 %, 11 %
2025/08/16 02:43:49.377, 47.04 W, 47, 25 %, 6 %
2025/08/16 02:43:50.381, 67.01 W, 47, 39 %, 11 %
