Model,Source_File,,precision,recall,f1-score,support
CNN,report_01_class_CNN_1_lay.csv,weighted avg,0.9556,0.9212,0.9346,168521.0
LSTM,report_01_class_LSTM_1_lay.csv,weighted avg,0.9707,0.96,0.9633,168521.0
GRU,report_01_class_GRU_1_lay.csv,weighted avg,0.9712,0.9668,0.9679,168521.0
DNN,report_01_class_DNN_1_lay.csv,weighted avg,0.9628,0.9325,0.9437,168521.0
CNN-LSTM,report_01_class_CNN-LSTM_1_lay.csv,weighted avg,0.9707,0.9645,0.9663,168521.0
CNN-GRU,report_01_class_CNN-GRU_1_lay.csv,weighted avg,0.9699,0.965,0.9664,168521.0
CNN-DNN,report_01_class_CNN-DNN_1_lay.csv,weighted avg,0.9645,0.9496,0.9544,168521.0
CNN,report_01_class_CNN_2_lay.csv,weighted avg,0.9592,0.9321,0.9421,168521.0
LSTM,report_01_class_LSTM_2_lay.csv,weighted avg,0.9725,0.9681,0.9692,168521.0
GRU,report_01_class_GRU_2_lay.csv,weighted avg,0.9691,0.9648,0.9659,168521.0
DNN,report_01_class_DNN_2_lay.csv,weighted avg,0.9646,0.9311,0.9436,168521.0
CNN-LSTM,report_01_class_CNN-LSTM_2_lay.csv,weighted avg,0.9694,0.96,0.9629,168521.0
CNN-GRU,report_01_class_CNN-GRU_2_lay.csv,weighted avg,0.9705,0.9654,0.9667,168521.0
CNN-DNN,report_01_class_CNN-DNN_2_lay.csv,weighted avg,0.9639,0.9528,0.9563,168521.0
CNN,report_01_class_CNN_3_lay.csv,weighted avg,0.9626,0.9462,0.9517,168521.0
LSTM,report_01_class_LSTM_3_lay.csv,weighted avg,0.9701,0.9629,0.9649,168521.0
GRU,report_01_class_GRU_3_lay.csv,weighted avg,0.9689,0.9608,0.9632,168521.0
DNN,report_01_class_DNN_3_lay.csv,weighted avg,0.9618,0.9214,0.9367,168521.0
CNN-LSTM,report_01_class_CNN-LSTM_3_lay.csv,weighted avg,0.9692,0.9573,0.9611,168521.0
CNN-GRU,report_01_class_CNN-GRU_3_lay.csv,weighted avg,0.9689,0.9595,0.9623,168521.0
CNN-DNN,report_01_class_CNN-DNN_3_lay.csv,weighted avg,0.9652,0.9484,0.954,168521.0
CNN,report_01_class_CNN_4_lay.csv,weighted avg,0.964,0.9503,0.9548,168521.0
LSTM,report_01_class_LSTM_4_lay.csv,weighted avg,0.9667,0.9574,0.96,168521.0
GRU,report_01_class_GRU_4_lay.csv,weighted avg,0.968,0.9584,0.9613,168521.0
DNN,report_01_class_DNN_4_lay.csv,weighted avg,0.958,0.8963,0.9203,168521.0
CNN-LSTM,report_01_class_CNN-LSTM_4_lay.csv,weighted avg,0.966,0.9556,0.9588,168521.0
CNN-GRU,report_01_class_CNN-GRU_4_lay.csv,weighted avg,0.9664,0.9596,0.9615,168521.0
CNN-DNN,report_01_class_CNN-DNN_4_lay.csv,weighted avg,0.9634,0.9449,0.9511,168521.0
CNN,report_01_class_CNN_5_lay.csv,weighted avg,0.9643,0.9506,0.955,168521.0
LSTM,report_01_class_LSTM_5_lay.csv,weighted avg,0.9672,0.955,0.9588,168521.0
GRU,report_01_class_GRU_5_lay.csv,weighted avg,0.9674,0.9537,0.9581,168521.0
DNN,report_01_class_DNN_5_lay.csv,weighted avg,0.9511,0.8399,0.8797,168521.0
CNN-LSTM,report_01_class_CNN-LSTM_5_lay.csv,weighted avg,0.9663,0.9485,0.9545,168521.0
CNN-GRU,report_01_class_CNN-GRU_5_lay.csv,weighted avg,0.9661,0.9534,0.9575,168521.0
CNN-DNN,report_01_class_CNN-DNN_5_lay.csv,weighted avg,0.9644,0.9409,0.9492,168521.0
