f1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,ICS,,
,,,,,,,,,,,,,,,,,,,,,
,Model,CNN,LSTM,GRU,DNN,CNN-LSTM,CNN-GRU,CNN-DNN,,,, 5-Layer model,Precision,Recall,F1-score,,,Model,Precision,Recall,F1-score
,precision,0.9643,0.9672,0.9674,0.9511,0.9663,0.9661,0.9644,,,,CNN,0.9643,0.9506,0.955,,,CNN,0.9887,0.9847,0.986
,recall,0.9506,0.955,0.9537,0.8399,0.9485,0.9534,0.9409,,,,LSTM,0.9672,0.955,0.9588,,,LSTM,0.9812,0.9772,0.9786
,f1-score,0.955,0.9588,0.9581,0.8797,0.9545,0.9575,0.9492,,,,GRU,0.9674,0.9537,0.9581,,,GRU,0.9839,0.9803,0.9815
,,,,,,,,,,,,DNN,0.9511,0.8399,0.8797,,,DNN,0.985,0.9806,0.982
,,,,,,,,,,,,CNN-LSTM,0.9663,0.9485,0.9545,,,CNN-LSTM,0.9864,0.9824,0.9836
,Model,precision,recall,f1-score,,,,,,,,CNN-DNN,0.9644,0.9409,0.9492,,,CNN-DNN,0.9857,0.9818,0.983
,CNN,0.9643,0.9506,0.955,,,,,,,,,,,,,,,,,
,LSTM,0.9672,0.955,0.9588,,,,,,,,,,,,,,,,,
,GRU,0.9674,0.9537,0.9581,,,,,,,,,,,,,,,,,
,DNN,0.9511,0.8399,0.8797,,,,,,,,,,,,,,,,,
,CNN-LSTM,0.9663,0.9485,0.9545,,,,,,,,,,,,,,,,,
,CNN-DNN,0.9644,0.9409,0.9492,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, 5-Layer model,Precision,Recall,F1-score,,,,,,
,,,,,,,,,,,,CNN,0.9887,0.9847,0.986,,,,,,
,,,,,,,,,,,,LSTM,0.9812,0.9772,0.9786,,,,,,
,,,,,,,,,,,,GRU,0.9839,0.9803,0.9815,,,,,,
,,,,,,,,,,,,DNN,0.985,0.9806,0.982,,,,,,
,,,,,,,,,,,,CNN-LSTM,0.9864,0.9824,0.9836,,,,,,
,,,,,,,,,,,,CNN-DNN,0.9857,0.9818,0.983,,,,,,
